# Reviewed AST-lint advisories for production sources.
# Format: RULE|REPOSITORY-RELATIVE PATH|SOURCE LINE|RATIONALE
# Error-level RAGU001-RAGU003 findings cannot be suppressed here.
RAGU005|crates/ragu_circuits/src/horner.rs|61|The first write seeds the accumulator; later writes perform one structural Horner step.
RAGU004|crates/ragu_circuits/src/raw.rs|171|The SYSTEM gate's A, B, and C wires are intentionally inaccessible; only its Extra handle initializes ONE.
RAGU004|crates/ragu_circuits/src/raw.rs|172|The reserved extra wire is intentionally consumed only to pin it to zero.
RAGU005|crates/ragu_core/src/drivers/emulator.rs|354|Known prediction bypasses execution only in the constraint-free Wire-equals-unit emulator.
RAGU005|crates/ragu_pcd/src/step/encoder.rs|98|The enum structurally distinguishes a pre-encoded value from one requiring conversion.
RAGU005|crates/ragu_pcd/src/step/internal/padded.rs|104|The early error depends only on the structural number of header elements already written.
RAGU004|crates/ragu_primitives/src/allocator.rs|69|The stateless allocator intentionally returns A and wastes the zero B and C wires of its allocation gate.
RAGU005|crates/ragu_primitives/src/allocator.rs|110|Structural pool occupancy selects redemption of a D wire or allocation of a fresh gate.
RAGU004|crates/ragu_primitives/src/allocator.rs|113|The pooled allocator intentionally returns A, stores Extra, and wastes the zero B and C wires.
RAGU004|crates/ragu_primitives/src/boolean.rs|223|The inverse is a constrained witness hint whose wire is intentionally not exposed by is_zero.
RAGU005|crates/ragu_primitives/src/element.rs|482|Iterator emptiness is structural API input; the method documents that its length must not depend on witness data.
RAGU005|crates/ragu_primitives/src/invertible.rs|339|Checked versus unchecked construction mode determines whether a product is accumulated.
RAGU005|crates/ragu_primitives/src/invertible.rs|349|The same structural construction mode determines whether the batched proof is discharged.
RAGU005|crates/ragu_primitives/src/point.rs|107|A native construction-time constant is rejected before either coordinate is embedded.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|127|Structural sponge mode determines whether buffered absorbs precede the common permutation.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|171|Buffer occupancy follows the structural sequence of absorb and squeeze calls.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|180|Empty absorb state is an API-state error; nonempty state performs a fixed transition.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|212|Structural sponge mode controls the transition from squeezing back to absorbing.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|221|The public-rate threshold depends only on the structural number of absorb calls.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|258|Save behavior is selected by structural sponge mode at an explicit API boundary.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|261|Pending-value count is structural sponge state, not a circuit witness.
RAGU005|crates/ragu_primitives/src/poseidon/mod.rs|329|ALPHA is a type-level permutation parameter and unsupported values panic before synthesis.
